,round_name,amountUSD,votes,uniqueContributors,chain_id,round_id,has_matching_cap,matching_cap_amount,matching_funds_available,token,has_min_donation_threshold,min_donation_threshold_amount,sybilDefense
16,Climate Round,34557,14119,5631,10,0xb6be0ecafdb66dd848b0480db40056ff94a9465d,true,10,250000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,true
17,ZK Tech Round,31199,8605,1848,1,0x274554eb289004e15a7679123901b7f070dda0fa,true,10,150000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
18,Web3 Social,25386,2546,685,1,0x9c3b81967eafba0a451e324417dd4f3f353b997b,true,4,50000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
19,Web3 Social,21301,14027,3711,10,0xc34745b3852df32d5958be88df2bee0a83474001,true,4,22500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
20,DeSci (Decentralized Science),18607,1042,267,1,0x6e8dc2e623204d61b0e59e668702654ae336c9f7,true,13.33333,75000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
21,The Life You Can Save,18564,801,444,1,0x265d72afb191b55f08ce5fc08cb82e00d1fdf060,false,,25000,0x6b175474e89094c44da98b954eedeac495271d0f,false,,false
22,Web3 Social,18545,6541,3833,10,0x9331fde4db7b9d9d1498c09d30149929f24cf9d5,true,4,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
23,Metacrisis,17807,600,211,1,0x8aa06b3b8cac2970857f4e0fd78f21dc01aade94,true,20,25000,0x6b175474e89094c44da98b954eedeac495271d0f,false,,true
24,Gitcoin Citizens Round #2,14710,5574,1350,424,0x7492a8c4ed29b1f1559888bd832fae5d33e10370,true,10,22232,0x7c6b91d9be155a6db01f749217d76ff02a7227f2,true,1,true
25,Arbitrum Citizens Retrofunding Round 1,12173,7107,2848,42161,0x3ac78e1ae5086904d53b41c747188216789f59a7,true,5,100000,0x912ce59144191c1204e64559fe8253a0e49e6548,true,1,false
26,Zuzalu Continuous Innovation,11675,1351,722,10,0x5b95acf46c73fd116f0fedadcbedf453530e35d0,true,10,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
27,Mantle Grants 1,9413,1368,550,1,0xf1c021df6dc6b2dc2e5a837cdfddc2f42503233b,true,10,50000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
28,American Cancer Society,8798,2971,1058,42161,0x302dbc8eb3bf73565a1205648b61b23cb3f72ff7,true,25,75000,0x912ce59144191c1204e64559fe8253a0e49e6548,false,,false
29,ENS Ecosystem,8754,696,155,1,0x64e5b2228ef31437909900b38fc42dd5e4b83147,true,5,50000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
30,OpenCivics Genesis Round,8625,710,353,424,0xe60a569ec8aac2045d9fda306dc2a16cc1e52a90,true,10,14.3,0x0000000000000000000000000000000000000000,true,1,true
31,Crypto Advocacy,7807,613,206,1,0x32c49d2da5f6866a057e4aa2058c62a2974a5623,true,20,100000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
32,LunCo (🌍🚀🌖) Ecosystem Support on @0xPolygon,7382,12038,1789,137,0xe03ebeb65bf0704f208bff15d994ea246d69b96c,false,,1000,0x0000000000000000000000000000000000000000,false,,false
33,Metacamp Onda 2023 FINAL,7188,529,31,10,0x35c9d05558da3a3f3cddbf34a8e364e59b857004,false,,3,0x0000000000000000000000000000000000000000,false,,false
34,Governance Research Round,7122,2391,1061,42161,0xa7608d95a93cc684f2719323d40cbd0f59afe7d4,true,10,31500,0x912ce59144191c1204e64559fe8253a0e49e6548,,,
35,Global Chinese Community for Public Goods - GR18,6869,999,554,10,0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,true,10,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,5,true
36,ReFi DAO Local Node ,6801,1552,762,10,0x10be322de44389ded49c0b2b73d8c3a1e3b6d871,true,25,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,false,,true
37,Token Engineering,6156,257,86,1,0x9e669c0a6e075f14ba9d9d98c3580ad67e20ec38,true,30,25000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
38,Token Engineering,5818,2620,1837,10,0xc5fdf5cff79e92fac1d6efa725c319248d279200,true,20,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
39,Global Chinese Community Round at GG19,5371,2313,1010,10,0x6726fe9c89fb04eaef388c11cf55be6aa0a62fb9,true,10,30000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,5,true
40,gov0/FAB DAO/dao0 Live Rround,5137,90,24,10,0x1b43c763789500a0510be08f331b92ba78cfc503,false,,1.28,0x0000000000000000000000000000000000000000,false,,false
41,Token Engineering,5108,1720,530,42161,0x0f0b9d9f72c1660905c57864e79ceb409ada0c9e,true,15,50000,0xaf88d065e77c8cc2239327c5edb3a432268e5831,true,1,true
42,Arbitrum Domain Round,5016,1685,832,1,0x69e423181f1d3e6bebf8ab88030c36da73785f26,true,50,100000,0x6b175474e89094c44da98b954eedeac495271d0f,false,,false
43,The New protocol ideas Round,4830,1874,708,42161,0x8b70206844630d8c0a2a545e92d3c8d46a3ceaad,true,10,50000,0x912ce59144191c1204e64559fe8253a0e49e6548,true,1,false
44,SheFi Octant Round,4700,1025,353,10,0xf22182afea4698379d35d41a72a0a9a6e9b70697,false,,6,0x0000000000000000000000000000000000000000,false,,false
45,MetaVenture Capital ,4240,543,520,1,0xf767c05b8bc33ca4a271118c6414b38a104bcd35,false,,12.2,0x0000000000000000000000000000000000000000,false,,false
46,The Gaming Round,4110,1756,701,42161,0xd0a086c37fbd20c44f3ba2cff69208d1b62f54e3,true,10,14500,0x912ce59144191c1204e64559fe8253a0e49e6548,true,1,false
47,"The Education, community growth & events Round",3757,1467,599,42161,0x59d79b22595b17af659ce9b03907615f53742c57,true,10,12500,0x912ce59144191c1204e64559fe8253a0e49e6548,true,1,false
48,First Talent Protocol Gitcoin Grant for Mexican Projects,3294,1450,347,10,0x6d28322989d76ccd181bcd767b15fda5bdb26bbf,true,25,1000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,false,,true
49,LunCo (🌍🚀🌖) Ecosystem Support,2964,2276,504,10,0xc97d35206250092b1ec22299fa69f88ed171f0f7,false,,1000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,false,,false
50,NexGenAI Ventures: Powering the AI Revolution,2840,524,322,1,0x4ea08b3b738fa982dc75d36adb04d36a7b342153,false,,12.2,0x0000000000000000000000000000000000000000,false,,false
51,1inch LatAm ,2800,1701,902,42161,0xe168ac27b7c32db85478a6807640c8bca1220d15,true,15,34500,0x912ce59144191c1204e64559fe8253a0e49e6548,false,0,false
52,GameNetWeb3 Grant:Forging the Future of Web3 Gaming,2784,1100,667,10,0x1a5a0b247dc3230079ebb4c7c6f258ef3067d010,false,,25,0x0000000000000000000000000000000000000000,false,,false
53,1st Phangan QF round (matching pool & marketing),2532,1076,613,10,0x48d2aaaefb338b813a28af627bda1b8aa70890f5,false,,125012501250100,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,,,
54,SheFi GG19 Round,2485,621,312,10,0x36f548e082b09b0cec5b3f5a7b78953c75de5e74,true,15,2.69,0x0000000000000000000000000000000000000000,true,0.96,false
55,Devconnect + ETHGlobal Volunteers Final Donation Round,2168,415,128,10,0xc758d062c38c3f69f90e90c06679a1d7b047216f,true,10,11000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,2,false
56,Mission Fund,2145,538,499,10,0x795fe70088750873ad9feb0c63c496d88c53e817,false,,500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,false
57,The Cult DAO Round,2057,281,139,10,0x7f9415761afbd82e3fe2fd9e878fa643184bc729,true,25,6500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,true
58,Global Chinese Community beta round,1957,203,71,1,0x859faeaa266ba13bd1e72eb6dd7a223902d1adfe,true,8,25000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
59,Meta Pool LatAm GG18,1953,970,610,10,0xf591e42dfdfe8e62c2085ccaadfe05f84d89d0c6,true,10,25000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,true
60,🌐♻️ EcoSynthesisX Spring Round on Polygon ,1885,4893,451,137,0x56e3ad5325f6b10e4d524731f37479d8f17153b7,false,,1150,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,true,1,false
61,Glo Dollar x Arbitrum DAO,1879,696,169,42161,0xc5262fc451a72f68f83563e30126d9c1d5d77659,true,10,10000,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,false,,true
62,Funding support for AI development for cryptocurrency,1825,499,467,42161,0x278c2e5c40e9d8429d2a92e449757bb3010b3ba5,false,,1600,0x0000000000000000000000000000000000000000,,,
63,Funding support for AI development for cryptocurrency,1821,821,434,424,0xb6e066444fafe576f82b751dd63408f15ea7b5e8,false,,10,0x0000000000000000000000000000000000000000,false,,false
64,The Developer tooling on Nova Round,1811,1091,476,42161,0x1d16f0eedf8ced25f288056ddcbb653d0f0451ad,true,15,24000,0x912ce59144191c1204e64559fe8253a0e49e6548,true,1,false
65,Raid Guild Contributors v0,1600,275,124,10,0xb5c0939a9bb0c404b028d402493b86d9998af55e,true,40,2500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,false
66,The Phantom Menace,1554,207,76,1,0x905efbabe2d52cd648fadfafcec8d6c8c60f7423,true,20,25000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
67,Funding support for AI development for cryptocurrency,1395,753,604,137,0xbdccbba5c4c5dad41ce020ed725a483e1a43cf0e,false,,15000,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,false,,false
68,🌐♻️ EcoSynthesisX Spring Round on Optimism ,1375,1251,253,10,0xe7fccab24b5469ff2ff8898875b43a992aacb56f,false,,1150,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,false
69,LunCo Ecosystem Support,1303,1164,240,42161,0x18a72e9940fb81860a809e266ebec42a9e2c44ce,false,,1000,0xaf88d065e77c8cc2239327c5edb3a432268e5831,false,,false
70,Ethereum.org Contributors Round,1276,579,294,10,0xc9a01d3d2505d9d2418dd2da64d06cf53fd403a0,true,15,5000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,false
71,Greenpill Q2 2023,1222,123,42,10,0x4195cd3cd76cc13faeb94fdad66911b4e0996f38,false,,3,0x0000000000000000000000000000000000000000,false,,true
72,Geo Web + Spatial Computing Public Goods,1151,233,106,10,0x3e92c56dac4a262efcafce7a78381622092754fd,true,50,4,0x0000000000000000000000000000000000000000,true,1,true
73,buidlguidl ,1124,385,181,10,0x40511f88b87b69496a3471cdbe1d3d25ac68e408,true,25,5.1337,0x0000000000000000000000000000000000000000,true,0.96,false
74,PDX DAO QF Round,1110,65,17,10,0x21fe7b098a69f59e3483e260b76798fe32d815ce,false,,2,0x0000000000000000000000000000000000000000,false,,false
75,LatAM & Africa DevConnect and EthGlobal Vounteer Program,1054,178,115,10,0xb1c1bbe9bac34d7d39f37441dd567f1905433ce8,true,10,6000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,false
76,DeSpaceQF 1st Round,1021,560,160,42161,0x911ae126be7d88155aa9254c91a49f4d85b83688,true,30,2500,0xaf88d065e77c8cc2239327c5edb3a432268e5831,false,,false
77,GreenPill Network Round,988,403,172,10,0x4727e3265706c59dbc31e7c518960f4f843bb4da,true,16,2.69,0x0000000000000000000000000000000000000000,true,0.96,false
78,ReFi Local Nodes,977,115,43,1,0x64aa545c9c63944f8e765d9a65eda3cbbdc6e620,true,30,25000,0x6b175474e89094c44da98b954eedeac495271d0f,false,,true
79,Seed Round,848,11,9,250,0x3558a83d59fdc4010c85c8cee6388a1b655f7336,false,,1,0x0000000000000000000000000000000000000000,false,,false
80,EcoSynthesisX Spring Round on Fantom,840,64,6,250,0x1b31479c4d1ae2aeff2aaf821de0edc00c4af3eb,false,,250,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,true,1,false
81,How We Connect: Public Goods Projects,804,304,100,10,0x17eac673517c33ef43ab95013ee5bdea9250c76e,false,,2,0x0000000000000000000000000000000000000000,false,,true
82,"How We Connect: Media, Art and Content",741,1317,112,10,0x3df423b3fe4a3d549a65d8f440b43a8a6f379670,false,,2,0x0000000000000000000000000000000000000000,false,,true
83,Public Goods Africa ,728,301,176,10,0xd309defd59c0b8792b14197eaa40043d9625b22b,true,30,5000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,false,,true
84,Funding support for AI development for cryptocurrency,574,94,91,42161,0xc0d48801d3c50cb2139cae89ba42c637eaee10d0,false,,1850,0x0000000000000000000000000000000000000000,false,,false
85,InnovateRound: Fueling Innovation in Open Source,497,254,228,10,0x5f0a2536f2782dde017cc946272f9b98e520cf45,false,,10,0x0000000000000000000000000000000000000000,false,,false
86,🪂  1st Phangan QF pre-round. Matching pool,356,176,98,10,0x2bdce028d04d907966e04ff3d94dbb5a04849bb4,false,,2000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,false
87,For the comercial,277,90,82,10,0xfe36ff9c59788a6a9ad7a979f459d69372dad0e6,false,,15,0x0000000000000000000000000000000000000000,,,
88,Eth Bucharest x Arbitrum DAO💙,260,81,34,42161,0xe6645e339be3d2036a18ec17aca62ae47e16207e,true,40,50000,0xaf88d065e77c8cc2239327c5edb3a432268e5831,true,1,false
89,EarthistDAO Citizens Round,232,206,48,42161,0x6a4122e7accbe88e0792c73fb32133fca584ebb7,true,20,14740,0x912ce59144191c1204e64559fe8253a0e49e6548,,,
90,🌐♻️ EcoSynthesisX Spring Round on Arbitrum ,175,134,40,42161,0x022dea50d223d50eadeebcb42166289f0b98bf77,false,,1000,0xaf88d065e77c8cc2239327c5edb3a432268e5831,false,,false
91,Micro Seed,145,81,77,10,0x6bc66fbd0b1cc13e2ba04b2c0950f9ca2b81f468,false,,500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,500,false
92,🪂  1st Phangan QF pre-round. Matching pool,140,197,86,137,0x3601e3e1de00fb30895ab2dc295f625d323e5e0e,false,,1000,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,true,1,true
93,IranUnchained v2,134,70,60,1,0x1427a0e71a222b0229a910dc72da01f8f04c7441,false,,0.0001,0x6b175474e89094c44da98b954eedeac495271d0f,false,,false
94,Schelling Point Round for Turkish Charities,118,32,15,10,0x8916763e325c5ab2bfec4e8dd06423ca9d28c373,false,,1,0x0000000000000000000000000000000000000000,false,,false
95,TFGrid 3.12,118,30,25,10,0xb4a2fd4adc086039ecdf51e6b8550ee64d7c0f44,false,,25,0x0000000000000000000000000000000000000000,,,
96,FAB DAO 補助讚！,93,166,32,10,0x5f7b8b79f5ebad59f493ab80dc87830e040e0029,true,30,1369.69,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.1,false
97,ETHSafari 2023 Hackathon ,31,6,5,10,0xfb88676220d1dab3b068c86d1ca338794e1b48cf,true,10,6000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.1,false
98,Showing how Gitcoin works,29,11,3,42161,0x51957724e38038a5e983665e8d73e1aacacc93b6,false,,0.05,0x0000000000000000000000000000000000000000,false,,false
99,QuantumStake: Revolutionizing Staking in the Crypto Sphere | ARB,24,14,14,42161,0xeda108dc8e15f27d3e382ebcd4f0759268f78fe9,false,,1500,0x912ce59144191c1204e64559fe8253a0e49e6548,false,,false
100,Greenpiling NYC,22,6,6,424,0x0f2b2ea681b38786f1d147b655cc8e0434712e5a,false,,1.8,0x0000000000000000000000000000000000000000,true,1,true
101,Ocean Regen 2,20,19,2,10,0x29e43278861ca84e74aa95acb215a8b447b9b751,true,10,100,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
102,GPT Internal Round,17,3,1,42161,0xe0a6f4e932b16c85318a77de43b7048863c522d2,false,,100,0x912ce59144191c1204e64559fe8253a0e49e6548,false,,false
103,Climate Underdogs,12,6,4,10,0xaa649dc7f56da086e7009d38fbe95c13951ae48e,true,20,360,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,,,
104,Mission Fund,12,9,9,10,0x135f474d35521348732e9947b246259754590959,false,,500,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,false
105,Funding Valorant tournaments,8,7,7,1,0xb2ece0cf1e81839dd050075db7fc2990667d3569,false,,3,0x0000000000000000000000000000000000000000,false,,false
106,"NEAR 2.0, META POOL & GITCOIN",4,2,2,10,0x79115c9114055f16bb5b0e9bbfa450844d0fcb3a,true,10,30000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.95,true
107,Hokkien Mee Improvements,2,2,1,1,0x24ffd26b727949e3523a8e62d145057cf13a44d0,false,50,5,0x6b175474e89094c44da98b954eedeac495271d0f,false,1,false
108,Public Good Meme Round 1,2,3,1,10,0x55e3ff2966fbad6a4322d2b9223be77dca9b89d3,true,10,100,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,false,,false
109,Scroll guide,1,2,2,137,0xfd69e398d0e1b4ff78f22b6f615d1cf66a9e18e4,true,30,0.5,0x0000000000000000000000000000000000000000,false,0,true
110,Round 1 Grants,1,4,3,10,0xf85916a04774a9c5e9786c70101c7911053533a1,false,,0.0001,0x0000000000000000000000000000000000000000,false,,false
